Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1 μF","C_1206_HandSoldering",132.494000,-91.444000,90.000000,top
"C2","22 pF","C_0805_HandSoldering",148.900000,-101.250000,90.000000,top
"C3","22 pF","C_0805_HandSoldering",148.800000,-85.000000,180.000000,top
"C4","220 pF","C_0805_HandSoldering",189.390000,-103.890000,180.000000,top
"C5","0.1 μF","C_0805_HandSoldering",119.300000,-80.450000,270.000000,top
"C6","1 μF","C_1206_HandSoldering",122.334000,-81.200000,270.000000,top
"C7","330 μF","CP_Elec_8x10",128.430000,-82.554000,270.000000,top
"C8","100 nF","C_0805_HandSoldering",148.800000,-80.000000,180.000000,top
"C9","100 nF","C_0805_HandSoldering",149.200000,-112.750000,90.000000,top
"D1","1N4148","D_SOD-323_HandSoldering",165.200000,-106.200000,0.000000,top
"D2","LED","LED_0805_HandSoldering",155.100000,-112.780000,90.000000,top
"D3","LED","LED_0805_HandSoldering",157.640000,-112.780000,90.000000,top
"D4","LED","LED_0805_HandSoldering",153.230000,-97.260000,270.000000,top
"D5","LED","LED_0805_HandSoldering",156.786000,-97.340000,270.000000,top
"D6","LED","LED_0805_HandSoldering",160.342000,-97.260000,270.000000,top
"J7","USB_B_Micro","USB_Micro-B",107.400000,-81.400000,270.000000,top
"R1","10 kΩ","R_0805_HandSoldering",146.800000,-112.650000,270.000000,top
"R2","10 kΩ","R_0805_HandSoldering",128.750000,-104.200000,0.000000,top
"R3","10 kΩ","R_0805_HandSoldering",127.350000,-116.600000,0.000000,top
"R4","3.3 kΩ","R_0805_HandSoldering",153.550000,-117.000000,180.000000,top
"R5","3.3 kΩ","R_0805_HandSoldering",159.050000,-117.000000,0.000000,top
"R6","3.3 kΩ","R_0805_HandSoldering",153.230000,-91.940000,90.000000,top
"R7","3.3 kΩ","R_0805_HandSoldering",156.786000,-91.940000,90.000000,top
"R8","3.3 kΩ","R_0805_HandSoldering",160.342000,-91.940000,90.000000,top
"R9","10 kΩ","R_0805_HandSoldering",148.800000,-82.600000,180.000000,top
"SW1","SPST","SW_SPST_B3S-1000",185.580000,-70.870000,90.000000,top
"U1","MCP1700T-3302E/TT","SOT-89-3_Handsoldering",121.200000,-91.200000,90.000000,top
"U3","MSQA6V1W5T2G","SOT-353_SC-70-5_Handsoldering",176.450000,-115.070000,270.000000,top
"U4","74HC126","SOIC-14_3.9x8.7mm_Pitch1.27mm",156.400000,-106.400000,90.000000,top
"U5","FT232RL","SSOP-28_5.3x10.2mm_Pitch0.65mm",157.386000,-82.808000,180.000000,top
