This is our new file for site: Site1.csv. We will write Date and time in first column, temperature in the next, EC, then depth
23/02/19 12:50:07 AM,-60.50,-858.41,-2330.70
23/02/19 12:50:59 AM,468.07,23.53,1008.47
23/02/19 12:51:35 AM,23.51,773.91,1008.60
23/02/19 12:52:22 AM,23.48,813.49,1008.64
23/02/19 01:01:00 AM,374.61,23.79,1008.57
23/02/19 01:02:31 AM,23.82,436.14,1008.40
23/02/19 02:09:35 AM,23.90,468.61,1007.82
23/02/19 03:16:41 AM,24.74,457.46,1007.29
03/03/19 02:34:39 AM,0.00,30.49,1007.72
03/03/19 02:35:32 AM,7.24,30.56,1010.39
